"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2219","petUpdateTestWithLog()","","Sat Jul 18 09:11:10 UTC 2026","passed","Sat Jul 18 09:11:12 UTC 2026","","com.petstore.api.putPet.PutPetTest","com.petstore.api.putPet.PutPetTest","petUpdateTestWithLog"
"","2182","petCreationWithOnlyNameTest()","","Sat Jul 18 09:11:12 UTC 2026","passed","Sat Jul 18 09:11:14 UTC 2026","","com.petstore.api.postPet.PostPetNegativeTest","com.petstore.api.postPet.PostPetNegativeTest","petCreationWithOnlyNameTest"
"","2221","checkOnePetTag()","","Sat Jul 18 09:11:32 UTC 2026","passed","Sat Jul 18 09:11:34 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkOnePetTag"
"","2452","petListTest()","","Sat Jul 18 09:11:25 UTC 2026","passed","Sat Jul 18 09:11:27 UTC 2026","","com.petstore.api.petList.PetListTest","com.petstore.api.petList.PetListTest","petListTest"
"","2701","petSuccessCreatedTest()","","Sat Jul 18 09:11:14 UTC 2026","passed","Sat Jul 18 09:11:17 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTest"
"","2270","petIdSuccessTestToPetObject()","","Sat Jul 18 09:11:34 UTC 2026","passed","Sat Jul 18 09:11:36 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","petIdSuccessTestToPetObject"
"","2177","petDeletionTest()","","Sat Jul 18 09:11:27 UTC 2026","passed","Sat Jul 18 09:11:29 UTC 2026","","com.petstore.api.deletePet.DeletePetTest","com.petstore.api.deletePet.DeletePetTest","petDeletionTest"
"","2695","petSuccessCreatedTestWithExract()","","Sat Jul 18 09:11:19 UTC 2026","passed","Sat Jul 18 09:11:22 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTestWithExract"
"","2275","checkOnePet()","","Sat Jul 18 09:11:36 UTC 2026","passed","Sat Jul 18 09:11:38 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkOnePet"
"","2655","petSuccessCreatedTestWithResponse()","","Sat Jul 18 09:11:17 UTC 2026","passed","Sat Jul 18 09:11:19 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTestWithResponse"
"","2261","petUpdateTest()","","Sat Jul 18 09:11:07 UTC 2026","passed","Sat Jul 18 09:11:10 UTC 2026","","com.petstore.api.putPet.PutPetTest","com.petstore.api.putPet.PutPetTest","petUpdateTest"
"","2327","checkMultiplePets()","","Sat Jul 18 09:11:38 UTC 2026","passed","Sat Jul 18 09:11:41 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkMultiplePets"
"","2698","petSuccessCreatedTestWithoutThen()","","Sat Jul 18 09:11:22 UTC 2026","passed","Sat Jul 18 09:11:25 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTestWithoutThen"
"","4156","petUpdateTestWithPOJO()","","Sat Jul 18 09:11:03 UTC 2026","passed","Sat Jul 18 09:11:07 UTC 2026","","com.petstore.api.putPet.PutPetTest","com.petstore.api.putPet.PutPetTest","petUpdateTestWithPOJO"
"","2530","petIdUnsuccesfulTest()","","Sat Jul 18 09:11:41 UTC 2026","passed","Sat Jul 18 09:11:43 UTC 2026","","com.petstore.api.getPet.PetIdNegTest","com.petstore.api.getPet.PetIdNegTest","petIdUnsuccesfulTest"
"","2174","checkOnePetWithoutThen()","","Sat Jul 18 09:11:29 UTC 2026","passed","Sat Jul 18 09:11:32 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkOnePetWithoutThen"
