"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1439","petIdUnsuccesfulTest()","","Sat Jul 18 10:06:14 UTC 2026","passed","Sat Jul 18 10:06:16 UTC 2026","","com.petstore.api.getPet.PetIdNegTest","com.petstore.api.getPet.PetIdNegTest","petIdUnsuccesfulTest"
"","1588","petSuccessCreatedTest()","","Sat Jul 18 10:05:59 UTC 2026","passed","Sat Jul 18 10:06:01 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTest"
"","1303","petUpdateTestWithLog()","","Sat Jul 18 10:05:56 UTC 2026","passed","Sat Jul 18 10:05:58 UTC 2026","","com.petstore.api.putPet.PutPetTest","com.petstore.api.putPet.PutPetTest","petUpdateTestWithLog"
"","1228","petIdSuccessTestToPetObject()","","Sat Jul 18 10:06:10 UTC 2026","passed","Sat Jul 18 10:06:12 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","petIdSuccessTestToPetObject"
"","1477","petListTest()","","Sat Jul 18 10:06:05 UTC 2026","passed","Sat Jul 18 10:06:07 UTC 2026","","com.petstore.api.petList.PetListTest","com.petstore.api.petList.PetListTest","petListTest"
"","1287","petUpdateTest()","","Sat Jul 18 10:05:55 UTC 2026","passed","Sat Jul 18 10:05:56 UTC 2026","","com.petstore.api.putPet.PutPetTest","com.petstore.api.putPet.PutPetTest","petUpdateTest"
"","1539","petSuccessCreatedTestWithExract()","","Sat Jul 18 10:06:02 UTC 2026","passed","Sat Jul 18 10:06:04 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTestWithExract"
"","1218","checkOnePet()","","Sat Jul 18 10:06:12 UTC 2026","passed","Sat Jul 18 10:06:13 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkOnePet"
"","1555","petSuccessCreatedTestWithoutThen()","","Sat Jul 18 10:06:04 UTC 2026","passed","Sat Jul 18 10:06:05 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTestWithoutThen"
"","1308","checkOnePetWithoutThen()","","Sat Jul 18 10:06:08 UTC 2026","passed","Sat Jul 18 10:06:09 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkOnePetWithoutThen"
"","1268","checkOnePetTag()","","Sat Jul 18 10:06:09 UTC 2026","passed","Sat Jul 18 10:06:10 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkOnePetTag"
"","1341","checkMultiplePets()","","Sat Jul 18 10:06:13 UTC 2026","passed","Sat Jul 18 10:06:14 UTC 2026","","com.petstore.api.getPet.PetIdPozitiveTest","com.petstore.api.getPet.PetIdPozitiveTest","checkMultiplePets"
"","3431","petUpdateTestWithPOJO()","","Sat Jul 18 10:05:52 UTC 2026","passed","Sat Jul 18 10:05:55 UTC 2026","","com.petstore.api.putPet.PutPetTest","com.petstore.api.putPet.PutPetTest","petUpdateTestWithPOJO"
"","1226","petDeletionTest()","","Sat Jul 18 10:06:07 UTC 2026","passed","Sat Jul 18 10:06:08 UTC 2026","","com.petstore.api.deletePet.DeletePetTest","com.petstore.api.deletePet.DeletePetTest","petDeletionTest"
"","1569","petSuccessCreatedTestWithResponse()","","Sat Jul 18 10:06:01 UTC 2026","passed","Sat Jul 18 10:06:02 UTC 2026","","com.petstore.api.postPet.PostPetTest","com.petstore.api.postPet.PostPetTest","petSuccessCreatedTestWithResponse"
"","1238","petCreationWithOnlyNameTest()","","Sat Jul 18 10:05:58 UTC 2026","passed","Sat Jul 18 10:05:59 UTC 2026","","com.petstore.api.postPet.PostPetNegativeTest","com.petstore.api.postPet.PostPetNegativeTest","petCreationWithOnlyNameTest"
